d1,d2,type,Neg samples
DB00559,DB01240,59,DB00626$t
DB00559,DB01708,74,DB01213$t
DB00559,DB02638,59,DB01366$h
DB00559,DB04855,72,DB01299$h
DB00559,DB04871,74,DB12267$h
DB00559,DB04908,74,DB09156$h
DB00559,DB04948,59,DB00555$t
DB00559,DB05109,74,DB00525$h
DB00559,DB05219,72,DB00221$h
DB00559,DB05541,74,DB00557$h
DB00559,DB06016,74,DB09414$h
DB00559,DB06203,74,DB11691$t
DB00559,DB06216,74,DB12483$h
DB00559,DB06335,74,DB06218$t
DB00559,DB06595,72,DB06213$t
DB00559,DB06603,74,DB07615$h
DB00559,DB06616,74,DB01604$t
DB00559,DB06636,72,DB01101$h
DB00559,DB06654,74,DB04967$h
DB00559,DB08860,3,DB00851$h
DB00559,DB08864,74,DB06213$t
DB00559,DB08868,74,DB00940$t
DB00559,DB08875,74,DB11363$h
DB00559,DB08895,74,DB01236$h
DB00559,DB08901,74,DB01106$t
DB00559,DB08918,74,DB00851$h
DB00559,DB09049,74,DB06810$h
DB00559,DB09068,74,DB06263$h
DB00559,DB09073,72,DB00578$h
DB00559,DB09078,74,DB09216$h
DB00559,DB09083,74,DB06803$h
DB00559,DB09102,74,DB00424$t
DB00559,DB09118,72,DB01064$t
DB00559,DB09128,74,DB01364$t
DB00559,DB09143,74,DB00381$h
DB00559,DB09291,74,DB12532$h
DB00559,DB09297,74,DB00322$h
DB00559,DB09330,72,DB01032$h
DB00559,DB09570,74,DB00569$h
DB00559,DB11362,74,DB00936$t
DB00559,DB11574,74,DB01283$h
DB00559,DB11575,74,DB02701$t
DB00559,DB11581,74,DB00292$h
DB00559,DB11613,74,DB01599$t
DB00559,DB11817,74,DB00648$t
DB00559,DB11828,74,DB01083$h
DB00559,DB11915,74,DB00916$h
DB00559,DB11921,74,DB00784$t
DB00559,DB12001,74,DB11633$h
DB00559,DB12026,74,DB09274$h
DB00559,DB12161,74,DB00870$h
DB00559,DB12267,74,DB00323$h
DB00559,DB12332,74,DB08882$t
DB00559,DB12483,74,DB00583$h
DB00559,DB13874,74,DB00234$h
DB00561,DB00182,70,DB03793$t
DB00561,DB09241,70,DB00469$h
DB00563,DB00465,72,DB05812$h
DB00563,DB00963,72,DB01626$t
DB00563,DB06210,72,DB00795$t
DB00563,DB08868,33,DB00560$t
DB00563,DB08895,33,DB00332$t
DB00563,DB09291,72,DB00203$h
DB00564,DB00182,48,DB00303$h
DB00564,DB00497,3,DB09389$h
DB00564,DB00530,74,DB01104$h
DB00564,DB00645,48,DB01429$t
DB00564,DB00683,3,DB01249$h
DB00564,DB00694,3,DB03619$h
DB00564,DB00907,3,DB00884$h
DB00564,DB01017,15,DB01033$t
DB00564,DB01072,3,DB00393$h
DB00564,DB01183,3,DB00244$h
DB00564,DB01221,3,DB00276$h
DB00564,DB01240,3,DB00545$h
DB00564,DB01708,3,DB06711$h
DB00564,DB04855,74,DB00655$t
DB00564,DB04871,3,DB00235$h
DB00564,DB04908,74,DB09477$t
DB00564,DB05109,74,DB11135$h
DB00564,DB05219,46,DB00928$t
DB00564,DB05239,74,DB01613$h
DB00564,DB05541,3,DB00314$h
DB00564,DB06016,3,DB09101$h
DB00564,DB06203,3,DB05271$h
DB00564,DB06204,15,DB00678$t
DB00564,DB06210,3,DB00849$h
DB00564,DB06216,3,DB00277$h
DB00564,DB06288,48,DB01234$h
DB00564,DB06335,3,DB01157$h
DB00564,DB06595,3,DB06595$h
DB00564,DB06603,74,DB00459$t
DB00564,DB06616,74,DB06788$t
DB00564,DB06636,10,DB00701$h
DB00564,DB06654,3,DB08916$h
DB00564,DB08860,3,DB01282$h
DB00564,DB08864,74,DB00302$t
DB00564,DB08868,74,DB00970$h
DB00564,DB08875,74,DB09241$t
DB00564,DB08895,74,DB00689$t
DB00564,DB08901,74,DB00193$t
DB00564,DB08916,74,DB00794$t
DB00564,DB08918,46,DB00423$t
DB00564,DB08930,74,DB01048$t
DB00564,DB09061,74,DB08967$h
DB00564,DB09068,74,DB00807$h
DB00564,DB09073,72,DB08808$h
DB00564,DB09078,3,DB01170$h
DB00564,DB09079,74,DB00686$h
DB00564,DB09083,74,DB00585$h
DB00564,DB09102,74,DB09094$h
DB00564,DB09118,72,DB09488$h
DB00564,DB09128,74,DB00230$h
DB00564,DB09143,74,DB00398$h
DB00564,DB09241,48,DB00940$t
DB00564,DB09280,72,DB00354$t
DB00564,DB09291,74,DB00343$h
DB00564,DB09296,3,DB00635$h
DB00564,DB09297,3,DB06725$h
DB00564,DB09330,74,DB11254$h
DB00564,DB09570,3,DB01095$h
DB00564,DB11362,3,DB01586$h
DB00564,DB11560,3,DB00166$h
DB00564,DB11574,3,DB00234$h
DB00564,DB11575,3,DB01327$h
DB00564,DB11581,3,DB00882$h
DB00564,DB11613,3,DB00523$h
DB00564,DB11730,74,DB01193$t
DB00564,DB11817,3,DB00774$h
DB00564,DB11828,3,DB00851$h
DB00564,DB11915,3,DB08895$h
DB00564,DB11921,3,DB00535$h
DB00564,DB12001,74,DB00548$t
DB00564,DB12026,3,DB06689$h
DB00564,DB12161,3,DB01204$h
DB00564,DB12267,74,DB00474$h
DB00564,DB12332,3,DB06713$t
DB00564,DB12483,3,DB01203$h
DB00564,DB13874,3,DB00517$h
DB00565,DB00512,20,DB00651$t
DB00565,DB00694,39,DB01416$h
DB00565,DB01017,20,DB09030$h
DB00567,DB00907,46,DB00338$t
DB00567,DB01072,46,DB09093$h
DB00567,DB04855,46,DB11136$h
DB00567,DB04871,46,DB00027$h
DB00567,DB06595,46,DB01253$h
DB00567,DB06603,72,DB00863$t
DB00567,DB06636,46,DB00479$h
DB00567,DB09073,72,DB00523$h
DB00567,DB09118,72,DB01613$h
DB00567,DB09291,46,DB09146$t
DB00567,DB09330,72,DB06228$t
DB00567,DB12332,46,DB01252$t
DB00568,DB00907,46,DB00438$t
DB00568,DB04855,46,DB01043$t
DB00568,DB04871,46,DB01623$t
DB00568,DB05219,46,DB01016$t
DB00568,DB06595,46,DB04911$t
DB00568,DB06603,72,DB01407$t
DB00568,DB08860,48,DB00956$t
DB00568,DB09118,46,DB00274$t
DB00568,DB09291,46,DB01103$t
DB00568,DB12332,46,DB04794$t
DB00569,DB00465,5,DB04908$h
DB00569,DB00963,5,DB00628$h
DB00569,DB01240,5,DB00808$h
DB00569,DB03619,48,DB00370$h
DB00569,DB06206,5,DB03615$t
DB00569,DB06441,5,DB00232$h
DB00569,DB09075,5,DB13158$h
DB00569,DB09079,48,DB00983$h
DB00569,DB11362,5,DB00613$h
DB00570,DB00907,46,DB01199$t
DB00570,DB01072,46,DB01339$h
DB00570,DB04855,46,DB00945$h
DB00570,DB04871,46,DB00354$h
DB00570,DB06595,46,DB00964$t
DB00570,DB06603,72,DB00412$h
DB00570,DB06636,46,DB09281$t
DB00570,DB08868,33,DB00919$t
DB00570,DB08895,33,DB01592$t
DB00570,DB08916,74,DB00660$h
DB00570,DB09073,72,DB06412$t
DB00570,DB09118,72,DB01005$h
DB00570,DB09291,46,DB00238$h
DB00570,DB09330,72,DB01378$h
DB00570,DB12332,46,DB09267$t
DB00571,DB00465,36,DB00565$h
DB00571,DB00907,46,DB13179$h
DB00571,DB00963,36,DB00837$t
DB00571,DB01072,46,DB01656$t
DB00571,DB01240,59,DB01167$h
DB00571,DB02638,59,DB01380$t
DB00571,DB04871,46,DB01110$h
DB00571,DB06595,46,DB13879$t
DB00571,DB06603,72,DB00737$t
DB00571,DB06636,46,DB09278$t
DB00571,DB08822,48,DB00091$h
DB00571,DB08868,53,DB01026$t
DB00571,DB08918,72,DB09324$h
DB00571,DB09073,72,DB00465$t
DB00571,DB09083,53,DB00209$h
DB00571,DB09118,72,DB04920$t
DB00571,DB09291,46,DB11581$t
DB00571,DB09330,72,DB00783$t
DB00571,DB11362,59,DB01010$t
DB00571,DB12332,46,DB00897$t
DB00572,DB00182,70,DB01280$t
DB00572,DB00497,48,DB09343$h
DB00572,DB06204,48,DB00880$h
DB00572,DB09241,70,DB01215$t
DB00572,DB09272,38,DB01357$t
DB00573,DB01240,69,DB06825$t
DB00573,DB01708,48,DB00211$h
DB00573,DB11660,69,DB09063$h
DB00573,DB11921,48,DB00229$h
DB00575,DB00907,46,DB00239$t
DB00575,DB01017,15,DB09244$t
DB00575,DB01072,46,DB09055$h
DB00575,DB01240,59,DB06802$t
DB00575,DB02638,59,DB00450$h
DB00575,DB04855,46,DB09396$t
DB00575,DB04871,46,DB08887$t
DB00575,DB04908,48,DB00972$h
DB00575,DB04948,59,DB00152$h
DB00575,DB06204,15,DB09161$h
DB00575,DB06595,46,DB01588$h
DB00575,DB06603,72,DB01558$h
DB00575,DB06636,46,DB01219$t
DB00575,DB06704,69,DB00817$t
DB00575,DB08822,48,DB01107$h
DB00575,DB08868,53,DB00636$h
DB00575,DB09073,72,DB00967$h
DB00575,DB09083,53,DB00939$t
DB00575,DB09118,72,DB00442$h
DB00575,DB09128,48,DB00476$h
DB00575,DB09291,46,DB00570$t
DB00575,DB09330,72,DB00465$h
DB00575,DB11362,59,DB00681$h
DB00575,DB12332,46,DB00981$t
DB00578,DB00694,74,DB00527$t
DB00582,DB00497,48,DB00814$t
DB00582,DB05219,46,DB00620$t
DB00582,DB06636,76,DB00686$h
DB00582,DB09073,72,DB00460$t
DB00582,DB09118,72,DB09265$h
DB00582,DB09330,72,DB11613$t
DB00582,DB12001,48,DB00742$h
DB00584,DB00465,48,DB05260$t
DB00584,DB00963,48,DB00445$h
DB00584,DB01072,46,DB09321$t
DB00584,DB01240,59,DB00120$t
DB00584,DB02638,59,DB00724$h
DB00584,DB04855,46,DB06742$t
DB00584,DB04948,59,DB01294$h
DB00584,DB06636,46,DB01223$t
DB00584,DB09073,72,DB04951$h
DB00584,DB09118,72,DB01256$t
DB00584,DB09292,48,DB06698$h
DB00584,DB09330,72,DB08869$h
DB00584,DB11362,59,DB00307$t
DB00584,DB12332,46,DB00366$t
DB00585,DB00530,74,DB00218$t
DB00585,DB01072,74,DB00769$h
DB00585,DB06616,74,DB00816$h
DB00585,DB08864,74,DB00642$h
DB00586,DB00465,48,DB06827$h
DB00586,DB00963,48,DB06603$t
DB00586,DB01072,46,DB01224$t
DB00586,DB01240,69,DB01069$h
DB00586,DB01708,48,DB01006$h
DB00586,DB04855,46,DB00242$t
DB00586,DB05219,46,DB00442$t
DB00586,DB06595,72,DB04552$t
DB00586,DB06636,46,DB00794$h
DB00586,DB09073,72,DB01501$h
DB00586,DB09118,72,DB09286$t
DB00586,DB09280,72,DB00718$h
DB00586,DB09330,72,DB00813$t
DB00586,DB11660,69,DB01299$h
DB00586,DB11921,48,DB00413$h
DB00586,DB12332,46,DB00747$h
DB00588,DB01017,15,DB00429$h
DB00588,DB01043,48,DB08822$h
DB00588,DB01072,72,DB00165$t
DB00588,DB04855,46,DB08864$h
DB00588,DB04908,48,DB00900$t
DB00588,DB06204,15,DB00542$h
DB00588,DB06636,46,DB00291$h
DB00588,DB08918,48,DB00827$h
DB00588,DB09073,72,DB09067$t
DB00588,DB09118,72,DB09048$h
DB00588,DB09128,48,DB00936$h
DB00588,DB09330,72,DB00934$h
DB00588,DB12332,46,DB01153$t
DB00589,DB00182,46,DB00768$t
DB00589,DB00683,48,DB00838$h
DB00589,DB00694,48,DB07615$h
DB00589,DB00907,46,DB00992$h
DB00589,DB01072,46,DB09345$t
DB00589,DB04855,46,DB06152$t
DB00589,DB04871,46,DB06770$t
DB00589,DB06595,46,DB09015$h
DB00589,DB06603,72,DB00905$t
DB00589,DB06636,46,DB00817$h
DB00589,DB08864,48,DB06206$t
DB00589,DB09073,72,DB00804$h
DB00589,DB09118,72,DB00919$h
DB00589,DB09241,46,DB00808$t
DB00589,DB09291,46,DB00610$t
DB00589,DB09330,72,DB01259$t
DB00589,DB11574,48,DB01587$h
DB00589,DB12332,46,DB00366$t
DB00589,DB13874,48,DB00357$t
DB00590,DB00388,4,DB00760$h
DB00590,DB00907,46,DB08930$t
DB00590,DB00935,4,DB06820$h
DB00590,DB01240,59,DB00806$h
DB00590,DB02638,59,DB00035$t
DB00590,DB04855,46,DB00664$t
DB00590,DB04871,46,DB00949$t
DB00590,DB04948,59,DB11136$t
DB00590,DB06595,46,DB01110$h
DB00590,DB06603,72,DB04711$t
DB00590,DB08822,48,DB01218$t
DB00590,DB09118,46,DB00836$t
DB00590,DB09291,46,DB00481$t
DB00590,DB11362,59,DB06636$h
DB00590,DB12332,46,DB01622$t
DB00591,DB01043,48,DB09134$t
DB00591,DB01072,72,DB01007$h
DB00591,DB09118,72,DB04894$t
DB00592,DB00907,46,DB01359$h
DB00592,DB04855,46,DB00728$t
DB00592,DB04871,46,DB01073$t
DB00592,DB06203,69,DB00335$t
DB00592,DB06335,69,DB01595$h
DB00592,DB06595,46,DB01591$h
DB00592,DB06603,72,DB04854$h
DB00592,DB09118,46,DB13231$t
DB00592,DB09291,46,DB12278$t
DB00592,DB12332,46,DB01396$t
DB00593,DB01017,15,DB00614$h
DB00593,DB01072,46,DB00244$t
DB00593,DB04855,46,DB08983$t
DB00593,DB04908,48,DB08992$t
DB00593,DB06204,15,DB08984$t
DB00593,DB06636,46,DB08992$h
DB00593,DB08918,48,DB01021$t
DB00593,DB09073,72,DB03585$t
DB00593,DB09118,72,DB02701$t
DB00593,DB09128,48,DB01603$h
DB00593,DB09330,72,DB12598$t
DB00593,DB12332,46,DB09342$t
DB00594,DB00465,36,DB00843$h
DB00594,DB00963,36,DB01414$h
DB00594,DB08822,48,DB00652$h
DB00594,DB09292,67,DB01232$h
DB00596,DB01043,48,DB00732$h
DB00596,DB01072,72,DB00883$h
DB00596,DB09118,72,DB08909$h
DB00598,DB00388,4,DB11730$t
DB00598,DB00465,36,DB01015$h
DB00598,DB00907,46,DB09124$t
DB00598,DB00963,36,DB00236$t
DB00598,DB01240,59,DB06605$h
DB00598,DB02638,59,DB00602$h
DB00598,DB04871,46,DB04552$t
DB00598,DB06595,46,DB01359$t
DB00598,DB06603,72,DB06710$t
DB00598,DB06704,69,DB00679$t
DB00598,DB08822,48,DB06209$t
DB00598,DB08868,53,DB01602$h
DB00598,DB08918,72,DB00531$h
DB00598,DB09083,53,DB00749$h
DB00598,DB09118,46,DB00769$t
DB00598,DB09291,46,DB00547$h
DB00598,DB11362,59,DB01029$t
DB00598,DB12332,46,DB00448$t
DB00599,DB00645,48,DB00675$t
DB00599,DB00907,48,DB00508$t
DB00599,DB01017,15,DB06697$h
DB00599,DB01240,59,DB01185$h
DB00599,DB04908,48,DB11342$t
DB00599,DB04948,59,DB13595$t
DB00599,DB06204,15,DB01282$h
DB00599,DB06288,48,DB09244$h
DB00599,DB08822,59,DB00104$h
DB00599,DB08918,48,DB01059$h
DB00599,DB09068,48,DB00813$h
DB00599,DB09118,48,DB06441$t
DB00599,DB09128,48,DB06288$h
DB00599,DB09292,59,DB01708$h
DB00601,DB04871,48,DB08807$h
DB00601,DB06016,48,DB00316$h
DB00601,DB06204,48,DB06268$t
DB00601,DB06216,48,DB00256$h
DB00601,DB06288,48,DB09245$t
DB00601,DB09128,48,DB00639$t
DB00602,DB01072,46,DB00405$t
DB00602,DB04855,46,DB04938$t
DB00602,DB06210,72,DB00250$h
DB00602,DB06636,46,DB00498$t
DB00602,DB09073,72,DB00417$t
DB00602,DB09118,72,DB01171$h
DB00602,DB09291,72,DB00482$t
DB00602,DB09330,72,DB00806$t
DB00602,DB12332,46,DB00270$h
DB00603,DB01072,72,DB00130$t
DB00603,DB04855,46,DB06800$h
DB00603,DB06203,69,DB01018$t
DB00603,DB06335,74,DB09236$h
DB00603,DB06636,46,DB00169$t
DB00603,DB08864,74,DB00543$t
DB00603,DB09073,72,DB03754$h
DB00603,DB09075,69,DB00501$h
DB00603,DB09118,72,DB00601$t
DB00603,DB09330,72,DB00555$t
DB00603,DB12332,46,DB01299$t
DB00604,DB00915,19,DB01605$h
DB00604,DB01072,46,DB00493$t
DB00604,DB04855,46,DB00484$t
DB00604,DB05219,46,DB00378$t
DB00604,DB06216,32,DB09039$h
DB00604,DB06595,46,DB00839$h
DB00604,DB06603,19,DB00788$h
DB00604,DB06636,46,DB01340$t
DB00604,DB08868,19,DB00656$h
DB00604,DB09073,72,DB11254$h
DB00604,DB09078,19,DB00577$h
DB00604,DB09118,72,DB00120$t
DB00604,DB09280,72,DB00590$h
DB00604,DB09330,72,DB00501$h
DB00604,DB12332,46,DB00935$h
DB00605,DB01240,69,DB00677$t
DB00605,DB01708,48,DB00027$h
DB00605,DB11660,69,DB06152$t
DB00605,DB11921,48,DB09104$t
DB00606,DB01240,59,DB00412$t
DB00606,DB02638,59,DB12364$t
DB00606,DB04948,59,DB00589$h
DB00606,DB11362,59,DB09053$h
DB00607,DB00694,74,DB00931$h
DB00607,DB06335,74,DB00939$h
DB00607,DB08864,74,DB00480$h
DB00608,DB00907,46,DB01384$h
DB00608,DB00915,19,DB04953$h
DB00608,DB01072,46,DB00291$t
DB00608,DB01240,69,DB04573$h
DB00608,DB01708,48,DB00722$h
DB00608,DB04855,46,DB01413$t
DB00608,DB05219,46,DB01014$t
DB00608,DB06595,46,DB01590$h
DB00608,DB06603,72,DB09135$h
DB00608,DB06636,46,DB09262$t
DB00608,DB08864,19,DB00980$t
DB00608,DB08868,19,DB08887$h
DB00608,DB09073,72,DB04911$t
DB00608,DB09083,19,DB00298$t
DB00608,DB09118,72,DB00317$t
DB00608,DB09280,72,DB00854$t
DB00608,DB09291,46,DB05541$t
DB00608,DB09330,72,DB01392$t
DB00608,DB11660,69,DB09285$t
DB00608,DB11921,48,DB12364$t
DB00610,DB00935,48,DB05316$t
DB00610,DB06704,69,DB08943$h
DB00610,DB09241,70,DB08947$h
DB00611,DB00182,68,DB09220$t
DB00611,DB00645,48,DB09042$t
DB00611,DB00683,48,DB01415$h
DB00611,DB00907,48,DB00456$h
DB00611,DB01017,15,DB04894$h
DB00611,DB01174,48,DB03796$t
DB00611,DB01221,48,DB01576$h
DB00611,DB01576,68,DB01242$t
DB00611,DB04908,48,DB06203$h
DB00611,DB06204,15,DB01034$h
DB00611,DB06216,48,DB00309$t
DB00611,DB06288,48,DB09014$h
DB00611,DB09049,48,DB01332$h
DB00611,DB09068,48,DB01418$h
DB00611,DB09118,48,DB09330$t
DB00611,DB09128,48,DB11574$h
DB00611,DB09272,38,DB09078$t
DB00612,DB00465,36,DB01107$h
DB00612,DB00907,46,DB00596$h
DB00612,DB00963,36,DB04967$h
DB00612,DB01072,46,DB00997$t
DB00612,DB01240,59,DB00276$h
DB00612,DB02638,59,DB09090$h
DB00612,DB04871,46,DB01103$h
DB00612,DB06595,46,DB00996$t
DB00612,DB06603,72,DB01610$h
DB00612,DB06636,46,DB01032$h
DB00612,DB08822,48,DB09220$t
DB00612,DB08868,53,DB00220$h
DB00612,DB08918,72,DB08909$t
DB00612,DB09073,72,DB11613$t
DB00612,DB09083,53,DB00957$t
DB00612,DB09118,72,DB09499$t
DB00612,DB09291,46,DB04839$h
DB00612,DB09330,72,DB09030$h
DB00612,DB11362,59,DB01227$t
DB00612,DB12332,46,DB01048$t
DB00613,DB00530,72,DB13145$t
DB00613,DB00907,72,DB08867$h
DB00613,DB05219,46,DB08983$h
DB00613,DB05219,72,DB01215$h
DB00613,DB06210,72,DB08893$h
DB00613,DB06595,72,DB00292$h
DB00613,DB08901,72,DB06401$h
DB00613,DB08911,72,DB01501$h
DB00613,DB09280,72,DB00301$t
DB00613,DB12070,72,DB01588$t
DB00613,DB12332,72,DB00353$h
DB00613,DB13874,72,DB00812$t
DB00614,DB00497,48,DB00330$t
DB00614,DB01240,59,DB00821$h
DB00614,DB02638,59,DB03128$h
DB00614,DB04948,59,DB04946$t
DB00614,DB11362,59,DB00932$t
DB00615,DB00497,3,DB01076$h
DB00615,DB00530,74,DB01435$h
DB00615,DB00683,3,DB08874$h
DB00615,DB00694,3,DB00697$h
DB00615,DB00907,3,DB00757$h
DB00615,DB01183,3,DB00712$h
DB00615,DB01221,3,DB00811$h
DB00615,DB01708,3,DB01393$h
DB00615,DB04855,74,DB00891$t
DB00615,DB04871,3,DB12924$h
DB00615,DB04908,74,DB00528$h
DB00615,DB05109,74,DB00570$h
DB00615,DB05239,74,DB06016$t
DB00615,DB05541,3,DB01063$t
DB00615,DB06016,3,DB01189$h
DB00615,DB06203,3,DB08905$h
DB00615,DB06216,3,DB13142$h
DB00615,DB06335,74,DB00974$h
DB00615,DB06595,3,DB01291$h
DB00615,DB06603,74,DB01241$t
DB00615,DB06616,74,DB00526$t
DB00615,DB06636,10,DB09257$t
DB00615,DB06654,3,DB11613$h
DB00615,DB08864,74,DB00210$h
DB00615,DB08868,3,DB09282$h
DB00615,DB08875,74,DB09210$t
DB00615,DB08895,74,DB00972$h
DB00615,DB08901,74,DB08981$h
DB00615,DB08918,3,DB11093$h
DB00615,DB09049,74,DB06799$h
DB00615,DB09061,74,DB09561$h
DB00615,DB09068,74,DB00175$h
DB00615,DB09073,72,DB00841$h
DB00615,DB09078,3,DB00500$h
DB00615,DB09083,74,DB06237$t
DB00615,DB09102,74,DB00979$h
DB00615,DB09118,72,DB09096$t
DB00615,DB09128,74,DB12364$h
DB00615,DB09143,74,DB08916$h
DB00615,DB09291,74,DB01298$h
DB00615,DB09297,3,DB06401$h
DB00615,DB09330,74,DB00982$h
DB00615,DB09570,74,DB00428$h
DB00615,DB11362,3,DB01227$h
DB00615,DB11574,3,DB00343$h
DB00615,DB11575,3,DB00665$h
DB00615,DB11581,3,DB00483$h
DB00615,DB11613,3,DB01511$h
DB00615,DB11730,74,DB00654$h
DB00615,DB11817,3,DB01131$h
DB00615,DB11828,3,DB01545$h
DB00615,DB11915,3,DB00827$h
DB00615,DB11921,3,DB00696$h
DB00615,DB12001,74,DB00809$t
DB00615,DB12026,3,DB00335$h
DB00615,DB12161,3,DB01400$h
DB00615,DB12267,3,DB04572$h
DB00615,DB12332,3,DB00222$h
DB00615,DB12483,3,DB00652$h
DB00615,DB13874,3,DB00303$h
DB00617,DB01072,46,DB01501$t
DB00617,DB04855,46,DB00793$t
DB00617,DB05219,46,DB08860$t
DB00617,DB06595,46,DB00674$t
DB00617,DB06636,46,DB00668$h
DB00617,DB09073,72,DB09244$t
DB00617,DB09118,72,DB11641$h
DB00617,DB09280,72,DB09008$t
DB00617,DB09330,72,DB00606$t
DB00617,DB12332,46,DB05239$h
DB00619,DB00497,48,DB08815$t
DB00619,DB00907,46,DB01133$t
DB00619,DB01072,72,DB00304$t
DB00619,DB04855,72,DB09288$h
DB00619,DB04908,48,DB00393$t
DB00619,DB05219,46,DB04398$t
DB00619,DB06210,72,DB00434$t
DB00619,DB06595,46,DB00983$t
DB00619,DB06603,72,DB12267$t
DB00619,DB06636,72,DB09123$t
DB00619,DB08868,33,DB01261$t
DB00619,DB08895,33,DB01240$h
DB00619,DB09073,72,DB00196$h
DB00619,DB09118,72,DB00398$t
DB00619,DB09291,72,DB01588$t
DB00619,DB09330,72,DB00551$h
DB00619,DB12332,72,DB00577$h
DB00620,DB01043,48,DB00543$t
DB00620,DB01072,46,DB00764$h
DB00620,DB04855,46,DB00931$t
DB00620,DB06203,69,DB00436$t
DB00620,DB06335,69,DB01551$h
DB00620,DB06636,46,DB00296$t
DB00620,DB08868,33,DB00917$h
DB00620,DB08895,33,DB00320$h
DB00620,DB09073,72,DB00242$h
DB00620,DB09118,72,DB11560$t
DB00620,DB09330,72,DB00816$h
DB00620,DB12332,46,DB06201$t
DB00622,DB00907,46,DB11630$h
DB00622,DB01072,46,DB01103$t
DB00622,DB02638,59,DB00283$t
DB00622,DB04948,59,DB00698$t
DB00622,DB05219,46,DB01224$t
DB00622,DB06335,74,DB09238$h
DB00622,DB06595,46,DB00120$t
DB00622,DB06603,72,DB00677$h
DB00622,DB06636,46,DB00657$t
DB00622,DB08822,48,DB13595$t
DB00622,DB09073,72,DB00519$t
DB00622,DB09118,72,DB01345$t
DB00622,DB09280,72,DB00863$t
DB00622,DB09291,46,DB00264$t
DB00622,DB09330,72,DB06663$h
DB00622,DB11362,59,DB00672$t
DB00623,DB00645,48,DB01424$t
DB00623,DB00683,48,DB00985$h
DB00623,DB00907,46,DB01088$t
DB00623,DB01017,15,DB03756$t
DB00623,DB01174,48,DB01250$t
DB00623,DB01221,48,DB00444$t
DB00623,DB04855,46,DB01250$t
DB00623,DB04871,46,DB09223$t
DB00623,DB04908,48,DB01121$t
DB00623,DB06204,15,DB00648$t
DB00623,DB06216,48,DB08930$t
DB00623,DB06595,46,DB00700$t
DB00623,DB06603,72,DB09570$t
DB00623,DB08918,48,DB09054$h
DB00623,DB09068,48,DB09117$h
DB00623,DB09118,46,DB01176$t
DB00623,DB09128,48,DB00920$h
DB00623,DB09274,72,DB01579$h
DB00623,DB09291,46,DB09080$t
DB00623,DB12332,46,DB06810$h
DB00624,DB01072,46,DB01366$t
DB00624,DB04855,46,DB01168$h
DB00624,DB05219,46,DB00561$t
DB00624,DB06210,72,DB13450$t
DB00624,DB06335,74,DB00863$h
DB00624,DB06595,46,DB00288$t
DB00624,DB06636,46,DB05812$t
DB00624,DB09073,72,DB00661$t
DB00624,DB09118,72,DB00923$h
DB00624,DB09280,72,DB01236$h
DB00624,DB09291,72,DB00134$t
DB00624,DB09330,72,DB01427$t
DB00624,DB12332,46,DB00420$t
DB00625,DB01017,15,DB01295$t
DB00625,DB01072,74,DB00353$h
DB00625,DB04855,46,DB00681$t
DB00625,DB04908,48,DB00356$t
DB00625,DB06204,15,DB00350$t
DB00625,DB06335,74,DB01171$h
DB00625,DB06636,46,DB00876$t
DB00625,DB08930,74,DB06288$t
DB00625,DB09073,72,DB00322$t
DB00625,DB09118,72,DB01171$h
DB00625,DB09128,48,DB00662$t
DB00625,DB09330,72,DB00562$t
DB00625,DB12332,46,DB09212$t
DB00627,DB06203,69,DB06739$t
DB00627,DB06335,69,DB00862$h
DB00627,DB08860,48,DB01295$t
DB00628,DB00645,48,DB05039$h
DB00628,DB00683,48,DB00271$h
DB00628,DB00907,48,DB00724$h
DB00628,DB01017,15,DB09352$t
DB00628,DB01072,46,DB00990$t
DB00628,DB01221,48,DB06789$h
DB00628,DB04855,46,DB00354$t
DB00628,DB04908,48,DB08889$t
DB00628,DB06204,15,DB09076$t
DB00628,DB06216,48,DB02638$h
DB00628,DB06288,48,DB01401$h
DB00628,DB06636,46,DB09076$t
DB00628,DB08918,48,DB01032$h
DB00628,DB09068,48,DB06287$h
DB00628,DB09073,72,DB01130$h
DB00628,DB09118,72,DB01057$h
DB00628,DB09128,48,DB00944$t
DB00628,DB09330,72,DB00430$h
DB00628,DB12332,46,DB00744$t
DB00629,DB01240,59,DB13878$t
DB00629,DB02638,59,DB06335$h
DB00629,DB04948,59,DB00686$h
DB00629,DB06595,46,DB00964$t
DB00629,DB06704,69,DB00233$t
DB00629,DB11362,59,DB02513$h
DB00629,DB12332,46,DB02187$t
DB00630,DB00694,23,DB09488$h
DB00631,DB01240,48,DB09488$t
DB00631,DB04948,48,DB01111$t
DB00631,DB06210,72,DB00401$h
DB00631,DB08822,48,DB00126$h
DB00631,DB08868,33,DB00760$t
DB00631,DB08895,33,DB03793$h
DB00631,DB09291,72,DB00654$h
DB00631,DB09292,48,DB01177$t
DB00633,DB00645,48,DB01401$h
DB00633,DB00907,48,DB09300$t
DB00633,DB01017,15,DB01174$t
DB00633,DB04855,53,DB01097$h
DB00633,DB04908,48,DB00819$h
DB00633,DB06204,15,DB06817$t
DB00633,DB06288,48,DB00543$h
DB00633,DB06704,69,DB06589$h
DB00633,DB08822,48,DB00374$t
DB00633,DB08868,53,DB00863$t
DB00633,DB09068,48,DB00308$h
DB00633,DB09083,53,DB01122$t
DB00633,DB09118,48,DB01234$h
DB00633,DB09128,48,DB00755$h
